FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Documents/GitHub/2CM4_DA2/DA2 Nathan.pde  12:31:41 2/8/24
 +00:00:00| Mesh Generation Complete
 +00:00:01| Step 20 Time= 1.071383 Dt= 0.215763 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.029991 MAX ERR= 0.041232 TIME ERR= 9.669e-4 Orthomin/ILU=(31) MEM(KiB)=18158 
 +00:00:01| Step 21 Time= 1.287147 Dt= 0.215763 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.027882 MAX ERR= 0.038299 TIME ERR= 6.983e-4 Orthomin/ILU=(32) MEM(KiB)=18158 
 +00:00:01| Step 22 Time= 1.556851 Dt= 0.269704 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.025324 MAX ERR= 0.035283 TIME ERR= 0.001534 Orthomin/ILU=(32) MEM(KiB)=18186 
 +00:00:01| Step 23 Time= 1.826555 Dt= 0.269704 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.023112 MAX ERR= 0.032430 TIME ERR= 0.001719 Orthomin/ILU=(32) MEM(KiB)=18186 
 +00:00:01| Step 24 Time= 2.096260 Dt= 0.269704 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.021110 MAX ERR= 0.029776 TIME ERR= 4.864e-4 Orthomin/ILU=(30) MEM(KiB)=18186 
 +00:00:01| Step 25 Time= 2.433390 Dt= 0.337130 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.018886 MAX ERR= 0.026765 TIME ERR= 7.321e-4 Orthomin/ILU=(30) MEM(KiB)=18186 
 +00:00:01| Step 26 Time= 2.854803 Dt= 0.421413 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.016493 MAX ERR= 0.023459 TIME ERR= 6.315e-4 Orthomin/ILU=(30) MEM(KiB)=18186 
 +00:00:01| Step 27 Time= 3.381570 Dt= 0.526766 Nodes=231 Cells=408 DOF=1915 RMS ERR= 0.014024 MAX ERR= 0.019980 TIME ERR= 5.836e-4 Orthomin/ILU=(30) MEM(KiB)=18186 
 +00:00:01| Step 28 Time= 4.040027 Dt= 0.658458 Nodes=230 Cells=407 DOF=1909 RMS ERR= 0.010566 MAX ERR= 0.018578 TIME ERR= 0.001003 Orthomin/ILU=(29) MEM(KiB)=18192 
 +00:00:01| Step 29 Time= 4.698485 Dt= 0.658458 Nodes=230 Cells=407 DOF=1909 RMS ERR= 0.009447 MAX ERR= 0.017841 TIME ERR= 0.001023 Orthomin/ILU=(30) MEM(KiB)=18192 
 +00:00:01| Step 30 Time= 5.356943 Dt= 0.658458 Nodes=230 Cells=407 DOF=1909 RMS ERR= 0.008794 MAX ERR= 0.017121 TIME ERR= 3.390e-4 Orthomin/ILU=(30) MEM(KiB)=18192 
 +00:00:01| Step 31 Time= 6.000000 Dt= 0.643057 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.005653 MAX ERR= 0.009153 TIME ERR= 0.002828 Orthomin/ILU=(29) MEM(KiB)=18195 
 +00:00:01| Step 32 Time= 6.589709 Dt= 0.589709 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.005145 MAX ERR= 0.009397 TIME ERR= 0.003336 Orthomin/ILU=(30) MEM(KiB)=18515 
 +00:00:01| Step 33 Time= 7.108617 Dt= 0.518908 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.004959 MAX ERR= 0.009604 TIME ERR= 3.638e-4 Orthomin/ILU=(29) MEM(KiB)=18515 
 +00:00:01| Step 34 Time= 7.757253 Dt= 0.648636 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.004788 MAX ERR= 0.009481 TIME ERR= 5.672e-4 Orthomin/ILU=(28) MEM(KiB)=18515 
 +00:00:01| Step 35 Time= 8.568047 Dt= 0.810794 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.004577 MAX ERR= 0.009141 TIME ERR= 5.766e-4 Orthomin/ILU=(28) MEM(KiB)=18515 
 +00:00:01| Step 36 Time= 9.581540 Dt= 1.013493 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.004323 MAX ERR= 0.008674 TIME ERR= 4.474e-4 Orthomin/ILU=(27) MEM(KiB)=18515 
 +00:00:01| Step 37 Time= 10.84841 Dt= 1.266866 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.004039 MAX ERR= 0.008134 TIME ERR= 3.805e-4 Orthomin/ILU=(26) MEM(KiB)=18515 
 +00:00:01| Step 38 Time= 12.00000 Dt= 1.151593 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.003814 MAX ERR= 0.007700 TIME ERR= 2.191e-4 Orthomin/ILU=(26) MEM(KiB)=18515 
 +00:00:01| Step 39 Time= 13.58358 Dt= 1.583583 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.003545 MAX ERR= 0.007179 TIME ERR= 4.267e-4 Orthomin/ILU=(25) MEM(KiB)=18579 
 +00:00:01| Step 40 Time= 15.56306 Dt= 1.979479 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.003260 MAX ERR= 0.006619 TIME ERR= 5.557e-4 Orthomin/ILU=(25) MEM(KiB)=18579 
 +00:00:02| Step 41 Time= 18.00000 Dt= 2.436939 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.002963 MAX ERR= 0.006031 TIME ERR= 7.480e-4 Orthomin/ILU=(23) MEM(KiB)=18579 
 +00:00:02| Step 42 Time= 20.47435 Dt= 2.474348 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.002706 MAX ERR= 0.005518 TIME ERR= 6.080e-4 Orthomin/ILU=(23) MEM(KiB)=18579 
 +00:00:02| Step 43 Time= 24.00000 Dt= 3.525652 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.002395 MAX ERR= 0.004890 TIME ERR= 0.001196 Orthomin/ILU=(22) MEM(KiB)=18579 
 +00:00:02| Step 44 Time= 27.09294 Dt= 3.092935 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.002161 MAX ERR= 0.004416 TIME ERR= 6.170e-4 Orthomin/ILU=(22) MEM(KiB)=18515 
 +00:00:02| Step 45 Time= 30.00000 Dt= 2.907065 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.001965 MAX ERR= 0.004019 TIME ERR= 4.608e-4 Orthomin/ILU=(22) MEM(KiB)=18515 
 +00:00:02| Step 46 Time= 33.86617 Dt= 3.866169 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.001735 MAX ERR= 0.003550 TIME ERR= 7.555e-4 Orthomin/ILU=(21) MEM(KiB)=18515 
 +00:00:02| Step 47 Time= 36.00000 Dt= 2.133831 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.001619 MAX ERR= 0.003314 TIME ERR= 1.194e-4 Orthomin/ILU=(24) MEM(KiB)=18515 
 +00:00:02| Step 48 Time= 42.00000 Dt= 6.000000 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.001329 MAX ERR= 0.002721 TIME ERR= 0.001715 Orthomin/ILU=(20) MEM(KiB)=18643 
 +00:00:03| Step 49 Time= 48.00000 Dt= 6.000000 Nodes=232 Cells=409 DOF=1921 RMS ERR= 0.001081 MAX ERR= 0.002212 TIME ERR= 0.001136 Orthomin/ILU=(21) MEM(KiB)=18579 
 +00:00:03| Step 50 Time= 54.00000 Dt= 6.000000 Nodes=232 Cells=409 DOF=1921 RMS ERR= 8.691e-4 MAX ERR= 0.001767 TIME ERR= 0.001157 Orthomin/ILU=(21) MEM(KiB)=18963 
 +00:00:03| Step 51 Time= 60.00000 Dt= 6.000000 Nodes=232 Cells=409 DOF=1921 RMS ERR= 6.955e-4 MAX ERR= 0.001374 TIME ERR= 0.001038 Orthomin/ILU=(20) MEM(KiB)=18899 
 +00:00:03| --DONE-- 12:31:44 2/8/24
